2022;1;$139,778;$139,778;$1,239,682
2022;2;$119,926;$259,705;$1,239,682
2022;3;$125,670;$385,374;$1,239,682
2022;4;$136,805;$522,179;$1,239,682
2022;5;$141,487;$663,666;$1,239,682
2022;6;$143,629;$807,295;$1,239,682
2022;7;$148,192;$955,488;$1,239,682
2022;8;$139,644;$1,095,132;$1,239,682
2022;9;$144,550;$1,239,682;$1,239,682
2023;1;$149,304;$149,304;$1,251,409
2023;2;$141,353;$290,657;$1,251,409
2023;3;$138,136;$428,793;$1,251,409
2023;4;$127,253;$556,046;$1,251,409
2023;5;$136,160;$692,206;$1,251,409
2023;6;$144,599;$836,806;$1,251,409
2023;7;$139,297;$976,103;$1,251,409
2023;8;$137,716;$1,113,818;$1,251,409
2023;9;$137,591;$1,251,409;$1,251,409
2024;1;$138,055;$138,055;$1,258,429
2024;2;$129,529;$267,584;$1,258,429
2024;3;$156,873;$424,457;$1,258,429
2024;4;$137,854;$562,311;$1,258,429
2024;5;$139,283;$701,594;$1,258,429
2024;6;$139,655;$841,250;$1,258,429
2024;7;$137,412;$978,662;$1,258,429
2024;8;$139,786;$1,118,447;$1,258,429
2024;9;$139,982;$1,258,429;$1,258,429
